antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'peg-100 stearate', 'disodium edta'})","frozenset({'glyceryl stearate', 'glycerin'})",0.0708725931995084,0.13068414584186808,0.05202785743547726,0.7341040462427746,5.617391777048943,1.0,0.04276593312960132,3.2693835384642793,0.8846810815314753,0.34794520547945207,0.694131940093597,0.5661115842499139
"frozenset({'peg-100 stearate', 'disodium edta'})",frozenset({'glyceryl stearate'}),0.0708725931995084,0.15690290864399836,0.06104055714870955,0.8612716763005781,5.489201466970525,1.0,0.049920441132563824,6.077324866857849,0.8802066687972729,0.3660933660933661,0.835453917322503,0.6251528094296624
frozenset({'peg-100 stearate'}),"frozenset({'glyceryl stearate', 'glycerin'})",0.10282671036460467,0.13068414584186808,0.0737402703809914,0.7171314741035857,5.487517016573206,1.0,0.060302449567263876,3.0732152027280444,0.9114941653982749,0.4615384615384616,0.6746078832643038,0.6406973984937991
"frozenset({'glycerin', 'peg-100 stearate', 'disodium edta'})",frozenset({'glyceryl stearate'}),0.06145022531749283,0.15690290864399836,0.05202785743547726,0.8466666666666667,5.396118363794604,1.0,0.04238613834633357,5.498459291452185,0.8680217351704891,0.312807881773399,0.8181308713961776,0.5891296779808529
frozenset({'peg-100 stearate'}),frozenset({'glyceryl stearate'}),0.10282671036460467,0.15690290864399836,0.08643998361327325,0.8406374501992032,5.357691947614243,1.0,0.0703061736707728,5.2904342482589115,0.9065723127529268,0.49881796690307334,0.8109795995802989,0.6957756441596539
"frozenset({'glycerin', 'peg-100 stearate'})",frozenset({'glyceryl stearate'}),0.08889799262597296,0.15690290864399836,0.0737402703809914,0.8294930875576038,5.286664821744415,1.0,0.05979191676536352,4.944650508763579,0.8899605315747401,0.42857142857142855,0.7977612374772162,0.6497334889485147
"frozenset({'peg-100 stearate', 'phenoxyethanol'})",frozenset({'glyceryl stearate'}),0.07865628840639083,0.15690290864399836,0.06472757066775911,0.8229166666666665,5.244750870322018,1.0,0.05238617023365518,4.7610188688338875,0.8784269802049856,0.3788968824940047,0.7899609248461288,0.6177246518711923
"frozenset({'citronellol', 'linalool', 'limonene'})",frozenset({'geraniol'}),0.08398197460057354,0.1442031954117165,0.06308889799262597,0.751219512195122,5.209451219512196,1.0,0.05097842889823766,3.4399675478548652,0.8821236902632252,0.3821339950372208,0.7092995831825241,0.594359756097561
"frozenset({'glycerin', 'peg-100 stearate', 'phenoxyethanol'})",frozenset({'glyceryl stearate'}),0.06677591151167554,0.15690290864399836,0.05407619827939369,0.8098159509202454,5.161255185891172,1.0,0.04359886353585754,4.433058899710589,0.863938994865246,0.3188405797101449,0.7744221264316419,0.5772317352512454
"frozenset({'citronellol', 'limonene'})",frozenset({'geraniol'}),0.09873002867677182,0.1442031954117165,0.07169192953707497,0.7261410788381742,5.03554083364768,1.0,0.05745474391879407,3.1249549985723686,0.8892025974025975,0.41866028708133973,0.67999539178745,0.6116500848736326
"frozenset({'citronellol', 'linalool'})",frozenset({'geraniol'}),0.11183941007783695,0.1442031954117165,0.08070462925030725,0.7216117216117216,5.004131285381286,1.0,0.06457702894412183,3.0741122059552817,0.9009239140614758,0.4602803738317757,0.6747028302796612,0.6406354062604063
"frozenset({'butylene glycol', 'peg-100 stearate'})",frozenset({'glyceryl stearate'}),0.06841458418680868,0.15690290864399836,0.05366653011061041,0.784431137724551,4.999468426072138,1.0,0.04293208285803043,3.911033729345898,0.8587282724727588,0.3126491646778043,0.7443131230250869,0.5632338456246776
"frozenset({'geraniol', 'glycerin'})",frozenset({'citronellol'}),0.09463334698893897,0.1470708725931995,0.06882425235559197,0.7272727272727273,4.945049379589769,1.0,0.05490644343751369,3.127406800491602,0.8811651583710407,0.3981042654028436,0.6802462667015982,0.5976196505444417
"frozenset({'geraniol', 'linalool', 'glycerin'})",frozenset({'citronellol'}),0.0766079475624744,0.1470708725931995,0.05571487095452683,0.7272727272727273,4.945049379589769,1.0,0.04444807325893965,3.127406800491602,0.8639640638864241,0.3317073170731707,0.6802462667015982,0.5530514054190935
"frozenset({'citronellol', 'glycerin', 'linalool'})",frozenset({'geraniol'}),0.07824662023760753,0.1442031954117165,0.05571487095452683,0.7120418848167539,4.937767729652546,1.0,0.044431458286096744,2.9719489032065844,0.8651764705882353,0.33415233415233414,0.6635204599510273,0.5492027605901951
frozenset({'geraniol'}),frozenset({'citronellol'}),0.1442031954117165,0.1470708725931995,0.10118803768947153,0.7017045454545455,4.7711999873385675,1.0,0.07997994790954271,2.8593433604494654,0.9235943819854529,0.5323275862068967,0.650269354204873,0.6948634147885542
"frozenset({'hexylene glycol', 'glycerin'})","frozenset({'butylene glycol', 'caprylyl glycol'})",0.07210159770585825,0.17492830807046292,0.05161818926669398,0.715909090909091,4.09258569299553,1.0,0.03900557877083102,2.904252355591972,0.8143733137110619,0.26415094339622647,0.6556773043242757,0.505495529061103
"frozenset({'hexylene glycol', 'phenoxyethanol'})","frozenset({'butylene glycol', 'caprylyl glycol'})",0.0766079475624744,0.17492830807046292,0.05407619827939369,0.7058823529411764,4.03526656564265,1.0,0.040675299627539296,2.8052437525604255,0.8145888790298726,0.27385892116182575,0.643524738594544,0.5075079212012674
frozenset({'citral'}),"frozenset({'linalool', 'limonene'})",0.09381401065137239,0.19991806636624335,0.07128226136829169,0.759825327510917,3.800683656668337,1.0,0.052527145760807165,3.331250232766005,0.8131768202697928,0.32044198895027626,0.6998124037143617,0.5581913522800487
"frozenset({'butylene glycol', 'hexylene glycol'})","frozenset({'caprylyl glycol', 'phenoxyethanol'})",0.06882425235559197,0.21425645227365833,0.05407619827939369,0.7857142857142856,3.6671674405900023,1.0,0.03933015813929758,3.6668032227229257,0.7810662720473542,0.23613595706618964,0.7272828839565022,0.5190521715378311
"frozenset({'phenoxyethanol', 'trehalose'})","frozenset({'butylene glycol', 'sodium hyaluronate'})",0.06554690700532569,0.21589512494879148,0.050389184760344125,0.76875,3.560756641366224,1.0,0.036237927082422516,3.3907237840052264,0.7696061134219409,0.21808510638297876,0.7050777168234066,0.5010732922201139
"frozenset({'hexylene glycol', 'glycerin'})","frozenset({'caprylyl glycol', 'phenoxyethanol'})",0.07210159770585825,0.21425645227365833,0.054485866448176976,0.7556818181818182,3.5269967842864594,1.0,0.03903763392045724,3.2160666139496783,0.7721455957775232,0.23498233215547704,0.6890611669352547,0.5049919607161482
"frozenset({'citral', 'linalool'})",frozenset({'limonene'}),0.0766079475624744,0.26505530520278575,0.07128226136829169,0.93048128342246,3.5105174850606256,1.0,0.050976918446161035,10.571896763621474,0.7744724576487267,0.2636363636363636,0.9054095946679067,0.5997074114175669
"frozenset({'sodium benzoate', 'glycerin', 'citric acid', 'phenoxyethanol'})",frozenset({'potassium sorbate'}),0.07455960671855796,0.2068824252355592,0.05407619827939369,0.7252747252747253,3.505733870090306,1.0,0.03865112601684892,2.8869479721425644,0.7723382564020014,0.23783783783783782,0.6536134320225229,0.4933304319442933
"frozenset({'glycerin', 'trehalose'})","frozenset({'butylene glycol', 'sodium hyaluronate'})",0.07578861122490782,0.21589512494879148,0.05735354362965998,0.7567567567567568,3.505205395148469,1.0,0.040991151939563125,3.223542264099413,0.7733187689969605,0.24475524475524477,0.689782258747776,0.5112057028565568
frozenset({'hexylene glycol'}),"frozenset({'caprylyl glycol', 'phenoxyethanol'})",0.09299467431380581,0.21425645227365833,0.06882425235559197,0.7400881057268723,3.4542161875321136,1.0,0.048899543356771644,3.0231150056589766,0.7833457005204973,0.2886597938144331,0.6692153629193407,0.5306559075479487
"frozenset({'citral', 'glycerin'})",frozenset({'limonene'}),0.058582548136009834,0.26505530520278575,0.05325686194182712,0.9090909090909091,3.429815933679921,1.0,0.037729246766080145,8.084391642769354,0.7525239338555265,0.19696969696969696,0.876304854565724,0.5550091330616833
frozenset({'trehalose'}),"frozenset({'butylene glycol', 'sodium hyaluronate'})",0.08521097910692339,0.21589512494879148,0.06308889799262597,0.7403846153846154,3.4293716245803534,1.0,0.044692263011327886,3.020255815012063,0.7743877260222984,0.2650602409638554,0.668902218471184,0.5163023646183039
"frozenset({'hexylene glycol', 'sodium hyaluronate'})",frozenset({'caprylyl glycol'}),0.05489553461696026,0.2806226956165506,0.05243752560426055,0.9552238805970149,3.4039437847260046,1.0,0.037032592702737496,16.066093131230364,0.7472434438664934,0.18523878437047755,0.9377571142012036,0.571042597232814
"frozenset({'geraniol', 'limonene'})",frozenset({'linalool'}),0.10651372388365424,0.26464563703400246,0.09586235149528882,0.9000000000000001,3.40077399380805,1.0,0.0676739591852353,7.353543629659986,0.7901064751133527,0.3482142857142858,0.8640111420612815,0.6311145510835914
frozenset({'citral'}),frozenset({'limonene'}),0.09381401065137239,0.26505530520278575,0.08439164276935682,0.8995633187772926,3.393870264505983,1.0,0.059525741543859916,7.317492830807045,0.7783734791692271,0.3074626865671642,0.8633411712014332,0.6089779499605165
"frozenset({'glycerin', 'geraniol', 'limonene'})",frozenset({'linalool'}),0.06841458418680868,0.26464563703400246,0.06104055714870955,0.8922155688622755,3.3713594482860905,1.0,0.042934935934175175,6.822454367517868,0.7550394597817169,0.2243975903614458,0.8534251830600638,0.5614328618305185
"frozenset({'butylene glycol', 'hexylene glycol', 'phenoxyethanol'})",frozenset({'caprylyl glycol'}),0.05776321179844326,0.2806226956165506,0.05407619827939369,0.9361702127659575,3.3360459698710976,1.0,0.0378665300770448,11.270244435340711,0.7431719367588931,0.19020172910662822,0.9112707798187369,0.5644354713464823
